periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada_asalariada,poblacion_ocupada,tasa_trabajo_asalariado
2007,1,Chihuahua,Hombres,522886.0,865891.0,60.38704641
2007,1,Chihuahua,Mujeres,340381.0,462584.0,73.58252771
2007,1,Ciudad de México,Hombres,1453017.0,2257972.0,64.35053225
2007,1,Ciudad de México,Mujeres,1193267.0,1686597.0,70.74997762
2007,1,Durango,Hombres,236208.0,380041.0,62.15329399
2007,1,Durango,Mujeres,126270.0,186846.0,67.57971806
2007,1,Guanajuato,Hombres,705267.0,1201859.0,58.68134282
2007,1,Guanajuato,Mujeres,427798.0,703465.0,60.81297577
2007,1,Guerrero,Hombres,322329.0,721073.0,44.70129931
2007,1,Guerrero,Mujeres,210837.0,457128.0,46.12209272
2007,1,Hidalgo,Hombres,314099.0,599501.0,52.39340718
2007,1,Hidalgo,Mujeres,188701.0,351957.0,53.61478817
2007,1,Jalisco,Hombres,1096077.0,1786711.0,61.34607108
2007,1,Jalisco,Mujeres,706988.0,1111831.0,63.58772152
2007,1,México,Hombres,2349469.0,3600483.0,65.25427283
2007,1,México,Mujeres,1384202.0,2106619.0,65.70727787
2007,1,Michoacán,Hombres,500520.0,996732.0,50.21610624
2007,1,Michoacán,Mujeres,289580.0,605417.0,47.83149466
2007,1,Morelos,Hombres,261274.0,418236.0,62.47047122
2007,1,Morelos,Mujeres,169597.0,273594.0,61.988567
2007,1,Nayarit,Hombres,142357.0,269524.0,52.81793087
2007,1,Nayarit,Mujeres,91664.0,163100.0,56.20110362
2007,1,Nuevo León,Hombres,908250.0,1233657.0,73.62257094
2007,1,Nuevo León,Mujeres,512345.0,692216.0,74.01519179
2007,1,Oaxaca,Hombres,328537.0,838983.0,39.15895793
2007,1,Oaxaca,Mujeres,197555.0,529051.0,37.34139053
2007,1,Puebla,Hombres,741206.0,1339236.0,55.34543576
2007,1,Puebla,Mujeres,428847.0,875064.0,49.00750117
2007,1,Querétaro,Hombres,253357.0,397237.0,63.77980903
2007,1,Querétaro,Mujeres,182354.0,261377.0,69.76665889
2007,1,Quintana Roo,Hombres,235337.0,348438.0,67.54056676
2007,1,Quintana Roo,Mujeres,135513.0,212898.0,63.65160781
2007,1,San Luis Potosí,Hombres,327409.0,600636.0,54.51038566
2007,1,San Luis Potosí,Mujeres,204754.0,347344.0,58.94847759
2007,1,Sinaloa,Hombres,415351.0,710342.0,58.47197547
2007,1,Sinaloa,Mujeres,258287.0,403736.0,63.97423069
2007,1,Sonora,Hombres,388681.0,605581.0,64.18315634
2007,1,Sonora,Mujeres,272168.0,373322.0,72.90435603
2007,1,Tabasco,Hombres,363283.0,539570.0,67.32824286
2007,1,Tabasco,Mujeres,162877.0,261469.0,62.2930443
2007,1,Tamaulipas,Hombres,521495.0,786505.0,66.3053636
2007,1,Tamaulipas,Mujeres,340052.0,475571.0,71.50393947
2007,1,Tlaxcala,Hombres,160001.0,265364.0,60.29491566
2007,1,Tlaxcala,Mujeres,90652.0,160433.0,56.50458447
2007,1,Veracruz,Hombres,1067747.0,1859427.0,57.42344281
2007,1,Veracruz,Mujeres,572019.0,1001682.0,57.10584796
2007,1,Yucatán,Hombres,294112.0,501647.0,58.62927517
2007,1,Yucatán,Mujeres,176610.0,325416.0,54.27207021
2007,1,Zacatecas,Hombres,171910.0,326819.0,52.60098097
2007,1,Zacatecas,Mujeres,102964.0,196940.0,52.28191327
2007,2,Nacional,Hombres,16095025.0,27053104.0,59.49418965
2007,2,Nacional,Mujeres,10015661.0,16192179.0,61.85493009
2007,2,Aguascalientes,Hombres,187700.0,263906.0,71.12380924
2007,2,Aguascalientes,Mujeres,117155.0,160217.0,73.12270233
